element_id,odia_element,english_equivalent,element_type,poetic_context,usage_example_odia,usage_example_english,complexity_level
3076,ମନୋଭାବ,sentiment,vocabulary,"Feeling, emotion, attitude",ମନୋଭାବ ର ମଧୁର କିରଣ,Sweet rays of the sentiment,advanced
3077,ଭାବନା,emotion,vocabulary,"Feeling, sentiment, thought",ଭାବନା ର ମଧୁର କିରଣ,Sweet rays of the emotion,advanced
3078,ଅନୁଭୂତି,sensation,vocabulary,"Feeling, experience, perception",ଅନୁଭୂତି ର ମଧୁର କିରଣ,Sweet rays of the sensation,advanced
3079,ସଂବେଦନା,sensitivity,vocabulary,"Awareness, feeling, responsiveness",ସଂବେଦନା ର ମଧୁର କିରଣ,Sweet rays of the sensitivity,advanced
3080,ପ୍ରତିକ୍ରିୟା,reaction,vocabulary,"Response, answer, feedback",ପ୍ରତିକ୍ରିୟା ର ମଧୁର କିରଣ,Sweet rays of the reaction,advanced
3081,ଫଳ,result,vocabulary,"Outcome, consequence, effect",ଫଳ ର ମଧୁର କିରଣ,Sweet rays of the result,advanced
3082,ପରିଣାମ,consequence,vocabulary,"Result, outcome, effect",ପରିଣାମ ର ମଧୁର କିରଣ,Sweet rays of the consequence,advanced
3083,ପ୍ରଭାବ,influence,vocabulary,"Effect, impact, power",ପ୍ରଭାବ ର ମଧୁର କିରଣ,Sweet rays of the influence,advanced
3084,ପରିଣତି,transformation,vocabulary,"Change, evolution, development",ପରିଣତି ର ମଧୁର କିରଣ,Sweet rays of the transformation,advanced
3085,ବିକାଶ,development,vocabulary,"Growth, progress, evolution",ବିକାଶ ର ମଧୁର କିରଣ,Sweet rays of the development,advanced
3086,ପ୍ରଗତି,progress,vocabulary,"Advancement, development, growth",ପ୍ରଗତି ର ମଧୁର କିରଣ,Sweet rays of the progress,advanced
3087,ଉନ୍ନତି,improvement,vocabulary,"Betterment, advancement, progress",ଉନ୍ନତି ର ମଧୁର କିରଣ,Sweet rays of the improvement,advanced
3088,ଅଭିବୃଦ୍ଧି,prosperity,vocabulary,"Growth, development, success",ଅଭିବୃଦ୍ଧି ର ମଧୁର କିରଣ,Sweet rays of the prosperity,advanced
3089,ସମୃଦ୍ଧି,abundance,vocabulary,"Plenty, prosperity, wealth",ସମୃଦ୍ଧି ର ମଧୁର କିରଣ,Sweet rays of the abundance,advanced
3090,ଉପାର୍ଜନ,earning,vocabulary,"Acquisition, gain, achievement",ଉପାର୍ଜନ ର ମଧୁର କିରଣ,Sweet rays of the earning,advanced
3091,ସଂଚୟ,accumulation,vocabulary,"Collection, gathering, storage",ସଂଚୟ ର ମଧୁର କିରଣ,Sweet rays of the accumulation,advanced
3092,ବିତରଣ,distribution,vocabulary,"Sharing, allocation, giving",ବିତରଣ ର ମଧୁର କିରଣ,Sweet rays of the distribution,advanced
3093,ବିନିମୟ,exchange,vocabulary,"Trade, swap, interchange",ବିନିମୟ ର ମଧୁର କିରଣ,Sweet rays of the exchange,advanced
3094,କ୍ରୟ,purchase,vocabulary,"Buying, acquisition, obtaining",କ୍ରୟ ର ମଧୁର କିରଣ,Sweet rays of the purchase,advanced
3095,ବିକ୍ରୟ,sale,vocabulary,"Selling, trade, commerce",ବିକ୍ରୟ ର ମଧୁର କିରଣ,Sweet rays of the sale,advanced
3096,ବାଣିଜ୍ୟ,commerce,vocabulary,"Trade, business, exchange",ବାଣିଜ୍ୟ ର ମଧୁର କିରଣ,Sweet rays of the commerce,advanced
3097,ଉଦ୍ୟୋଗ,industry,vocabulary,"Business, enterprise, effort",ଉଦ୍ୟୋଗ ର ମଧୁର କିରଣ,Sweet rays of the industry,advanced
3098,ବ୍ୟବସାୟ,business,vocabulary,"Trade, commerce, occupation",ବ୍ୟବସାୟ ର ମଧୁର କିରଣ,Sweet rays of the business,advanced
3099,ପେଶା,profession,vocabulary,"Occupation, career, vocation",ପେଶା ର ମଧୁର କିରଣ,Sweet rays of the profession,advanced
3100,ଚାକିରି,job,vocabulary,"Employment, work, service",ଚାକିରି ର ମଧୁର କିରଣ,Sweet rays of the job,advanced
3101,ସେବା,service,vocabulary,"Work, duty, employment",ସେବା ର ମଧୁର କିରଣ,Sweet rays of the service,advanced
3102,କର୍ମଚାରୀ,employee,vocabulary,"Worker, staff, servant",କର୍ମଚାରୀ ର ମଧୁର କିରଣ,Sweet rays of the employee,advanced
3103,ନିୟୋଜକ,employer,vocabulary,"Master, boss, owner",ନିୟୋଜକ ର ମଧୁର କିରଣ,Sweet rays of the employer,advanced
3104,ସ୍ୱାମୀ,master,vocabulary,"Owner, lord, husband",ସ୍ୱାମୀ ର ମଧୁର କିରଣ,Sweet rays of the master,advanced
3105,ଭୃତ୍ୟ,servant,vocabulary,"Employee, worker, attendant",ଭୃତ୍ୟ ର ମଧୁର କିରଣ,Sweet rays of the servant,advanced
3106,ସେବକ,attendant,vocabulary,"Servant, helper, assistant",ସେବକ ର ମଧୁର କିରଣ,Sweet rays of the attendant,advanced
3107,ସହାୟକ,assistant,vocabulary,"Helper, aide, supporter",ସହାୟକ ର ମଧୁର କିରଣ,Sweet rays of the assistant,advanced
3108,ସହଯୋଗୀ,collaborator,vocabulary,"Partner, colleague, associate",ସହଯୋଗୀ ର ମଧୁର କିରଣ,Sweet rays of the collaborator,advanced
3109,ସାଥୀ,companion,vocabulary,"Friend, partner, mate",ସାଥୀ ର ମଧୁର କିରଣ,Sweet rays of the companion,advanced
3110,ବନ୍ଧୁ,friend,vocabulary,"Companion, pal, well-wisher",ବନ୍ଧୁ ର ମଧୁର କିରଣ,Sweet rays of the friend,advanced
3111,ସୁହୃଦ,good friend,vocabulary,"Close friend, well-wisher",ସୁହୃଦ ର ମଧୁର କିରଣ,Sweet rays of the good friend,advanced
3112,ମିତ୍ର,friend,vocabulary,"Companion, ally, associate",ମିତ୍ର ର ମଧୁର କିରଣ,Sweet rays of the friend,advanced
3113,ଶତ୍ରୁ,enemy,vocabulary,"Foe, opponent, rival",ଶତ୍ରୁ ର ମଧୁର କିରଣ,Sweet rays of the enemy,advanced
3114,ବିପକ୍ଷ,opponent,vocabulary,"Rival, adversary, competitor",ବିପକ୍ଷ ର ମଧୁର କିରଣ,Sweet rays of the opponent,advanced
3115,ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱୀ,competitor,vocabulary,"Rival, challenger, opponent",ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱୀ ର ମଧୁର କିରଣ,Sweet rays of the competitor,advanced
3116,ପ୍ରତିଯୋଗୀ,contestant,vocabulary,"Competitor, participant, player",ପ୍ରତିଯୋଗୀ ର ମଧୁର କିରଣ,Sweet rays of the contestant,advanced
3117,ବିରୋଧୀ,opposer,vocabulary,"Objector, protester, adversary",ବିରୋଧୀ ର ମଧୁର କିରଣ,Sweet rays of the opposer,advanced
3118,ବାଧକ,obstacle,vocabulary,"Hindrance, barrier, impediment",ବାଧକ ର ମଧୁର କିରଣ,Sweet rays of the obstacle,advanced
3119,ବିଘ୍ନ,hindrance,vocabulary,"Obstacle, impediment, barrier",ବିଘ୍ନ ର ମଧୁର କିରଣ,Sweet rays of the hindrance,advanced
3120,ଅବରୋଧ,blockage,vocabulary,"Obstruction, barrier, stop",ଅବରୋଧ ର ମଧୁର କିରଣ,Sweet rays of the blockage,advanced
3121,ପ୍ରତିବନ୍ଧକ,barrier,vocabulary,"Obstacle, hindrance, block",ପ୍ରତିବନ୍ଧକ ର ମଧୁର କିରଣ,Sweet rays of the barrier,advanced
3122,ଅଡ୍ଚାଣ,obstruction,vocabulary,"Hindrance, barrier, obstacle",ଅଡ୍ଚାଣ ର ମଧୁର କିରଣ,Sweet rays of the obstruction,advanced
3123,ସହାୟତା,help,vocabulary,"Assistance, support, aid",ସହାୟତା ର ମଧୁର କିରଣ,Sweet rays of the help,advanced
3124,ସହଯୋଗ,cooperation,vocabulary,"Collaboration, assistance, help",ସହଯୋଗ ର ମଧୁର କିରଣ,Sweet rays of the cooperation,advanced
3125,ଅନୁଗ୍ରହ,favor,vocabulary,"Kindness, grace, blessing",ଅନୁଗ୍ରହ ର ମଧୁର କିରଣ,Sweet rays of the favor,advanced
3126,ଉପକାର,benefit,vocabulary,"Help, service, favor",ଉପକାର ର ମଧୁର କିରଣ,Sweet rays of the benefit,advanced
3127,ସେବା,service,vocabulary,"Help, assistance, ministry",ସେବା ର ମଧୁର କିରଣ,Sweet rays of the service,advanced
3128,ପରିଚର୍ଯ୍ୟା,attendance,vocabulary,"Service, care, ministration",ପରିଚର୍ଯ୍ୟା ର ମଧୁର କିରଣ,Sweet rays of the attendance,advanced
3129,ଶୁଶ୍ରୂଷା,nursing,vocabulary,"Care, service, attention",ଶୁଶ୍ରୂଷା ର ମଧୁର କିରଣ,Sweet rays of the nursing,advanced
3130,ରକ୍ଷଣାବେକ୍ଷଣ,protection,vocabulary,"Guardianship, care, preservation",ରକ୍ଷଣାବେକ୍ଷଣ ର ମଧୁର କିରଣ,Sweet rays of the protection,advanced
3131,ପାଳନ,rearing,vocabulary,"Raising, nurturing, bringing up",ପାଳନ ର ମଧୁର କିରଣ,Sweet rays of the rearing,advanced
3132,ଲାଳନପାଳନ,nurturing,vocabulary,"Rearing, upbringing, care",ଲାଳନପାଳନ ର ମଧୁର କିରଣ,Sweet rays of the nurturing,advanced
3133,ଶିକ୍ଷଣ,teaching,vocabulary,"Instruction, education, training",ଶିକ୍ଷଣ ର ମଧୁର କିରଣ,Sweet rays of the teaching,advanced
3134,ପ୍ରଶିକ୍ଷଣ,training,vocabulary,"Instruction, coaching, preparation",ପ୍ରଶିକ୍ଷଣ ର ମଧୁର କିରଣ,Sweet rays of the training,advanced
3135,ନିର୍ଦ୍ଦେଶନ,guidance,vocabulary,"Direction, instruction, leadership",ନିର୍ଦ୍ଦେଶନ ର ମଧୁର କିରଣ,Sweet rays of the guidance,advanced
3136,ପରାମର୍ଶ,advice,vocabulary,"Counsel, suggestion, recommendation",ପରାମର୍ଶ ର ମଧୁର କିରଣ,Sweet rays of the advice,advanced
3137,ସୁପରିଚାଳନା,management,vocabulary,"Administration, control, direction",ସୁପରିଚାଳନା ର ମଧୁର କିରଣ,Sweet rays of the management,advanced
3138,ପରିଚାଳନା,administration,vocabulary,"Management, operation, running",ପରିଚାଳନା ର ମଧୁର କିରଣ,Sweet rays of the administration,advanced
3139,ନିୟନ୍ତ୍ରଣ,control,vocabulary,"Regulation, command, authority",ନିୟନ୍ତ୍ରଣ ର ମଧୁର କିରଣ,Sweet rays of the control,advanced
3140,ଶାସନ,governance,vocabulary,"Rule, administration, control",ଶାସନ ର ମଧୁର କିରଣ,Sweet rays of the governance,advanced
3141,ପ୍ରଶାସନ,administration,vocabulary,"Government, management, rule",ପ୍ରଶାସନ ର ମଧୁର କିରଣ,Sweet rays of the administration,advanced
3142,ନେତୃତ୍ୱ,leadership,vocabulary,"Guidance, direction, command",ନେତୃତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the leadership,advanced
3143,ଅଧ୍ୟକ୍ଷତା,chairmanship,vocabulary,"Presidency, leadership, control",ଅଧ୍ୟକ୍ଷତା ର ମଧୁର କିରଣ,Sweet rays of the chairmanship,advanced
3144,ସଭାପତିତ୍ୱ,presidency,vocabulary,"Chairmanship, leadership, control",ସଭାପତିତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the presidency,advanced
3145,ନିର୍ଦ୍ଦେଶକତ୍ୱ,directorship,vocabulary,"Leadership, guidance, control",ନିର୍ଦ୍ଦେଶକତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the directorship,advanced
3146,ପ୍ରଧାନତ୍ୱ,primacy,vocabulary,"Leadership, supremacy, importance",ପ୍ରଧାନତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the primacy,advanced
3147,ଅଗ୍ରଣୀତ୍ୱ,vanguard,vocabulary,"Leadership, forefront, pioneer",ଅଗ୍ରଣୀତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the vanguard,advanced
3148,ପୂର୍ବଗାମୀତ୍ୱ,precedence,vocabulary,"Priority, antecedence, leadership",ପୂର୍ବଗାମୀତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the precedence,advanced
3149,ଅନୁଗାମୀତ୍ୱ,following,vocabulary,"Succession, sequence, order",ଅନୁଗାମୀତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the following,advanced
3150,ଅନୁସରଣ,following,vocabulary,"Pursuit, imitation, compliance",ଅନୁସରଣ ର ମଧୁର କିରଣ,Sweet rays of the following,advanced
3151,ପାଳନ,observance,vocabulary,"Compliance, following, practice",ପାଳନ ର ମଧୁର କିରଣ,Sweet rays of the observance,advanced
3152,ଅନୁଷ୍ଠାନ,institution,vocabulary,"Organization, establishment, body",ଅନୁଷ୍ଠାନ ର ମଧୁର କିରଣ,Sweet rays of the institution,advanced
3153,ସଂସ୍ଥା,organization,vocabulary,"Institution, body, establishment",ସଂସ୍ଥା ର ମଧୁର କିରଣ,Sweet rays of the organization,advanced
3154,ପ୍ରତିଷ୍ଠାନ,foundation,vocabulary,"Institution, establishment, base",ପ୍ରତିଷ୍ଠାନ ର ମଧୁର କିରଣ,Sweet rays of the foundation,advanced
3155,ସଂଘ,association,vocabulary,"Union, organization, society",ସଂଘ ର ମଧୁର କିରଣ,Sweet rays of the association,advanced
3156,ସମିତି,committee,vocabulary,"Council, board, group",ସମିତି ର ମଧୁର କିରଣ,Sweet rays of the committee,advanced
3157,ପରିଷଦ,council,vocabulary,"Assembly, board, committee",ପରିଷଦ ର ମଧୁର କିରଣ,Sweet rays of the council,advanced
3158,ସଭା,assembly,vocabulary,"Meeting, gathering, congregation",ସଭା ର ମଧୁର କିରଣ,Sweet rays of the assembly,advanced
3159,ସମାବେଶ,gathering,vocabulary,"Assembly, meeting, collection",ସମାବେଶ ର ମଧୁର କିରଣ,Sweet rays of the gathering,advanced
3160,ସମ୍ମିଳନୀ,conference,vocabulary,"Meeting, assembly, convention",ସମ୍ମିଳନୀ ର ମଧୁର କିରଣ,Sweet rays of the conference,advanced
3161,ସଂସ୍କାର,reform,vocabulary,"Improvement, refinement, purification",ସଂସ୍କାର ର ମଧୁର କିରଣ,Sweet rays of the reform,advanced
3162,ପରିବର୍ତ୍ତନ,change,vocabulary,"Transformation, alteration, modification",ପରିବର୍ତ୍ତନ ର ମଧୁର କିରଣ,Sweet rays of the change,advanced
3163,ସଂଶୋଧନ,amendment,vocabulary,"Correction, improvement, revision",ସଂଶୋଧନ ର ମଧୁର କିରଣ,Sweet rays of the amendment,advanced
3164,ପୁନର୍ଗଠନ,reorganization,vocabulary,"Restructuring, rearrangement, reform",ପୁନର୍ଗଠନ ର ମଧୁର କିରଣ,Sweet rays of the reorganization,advanced
3165,ନବୀକରଣ,renovation,vocabulary,"Renewal, restoration, refreshment",ନବୀକରଣ ର ମଧୁର କିରଣ,Sweet rays of the renovation,advanced
3166,ପୁନରୁଦ୍ଧାର,restoration,vocabulary,"Renewal, recovery, reinstatement",ପୁନରୁଦ୍ଧାର ର ମଧୁର କିରଣ,Sweet rays of the restoration,advanced
3167,ସଂରକ୍ଷଣ,conservation,vocabulary,"Preservation, protection, maintenance",ସଂରକ୍ଷଣ ର ମଧୁର କିରଣ,Sweet rays of the conservation,advanced
3168,ରକ୍ଷଣ,protection,vocabulary,"Defense, preservation, safety",ରକ୍ଷଣ ର ମଧୁର କିରଣ,Sweet rays of the protection,advanced
3169,ପାଳନ,observance,vocabulary,"Practice, performance, celebration",ପାଳନ ର ମଧୁର କିରଣ,Sweet rays of the observance,advanced
3170,ଅନୁଷ୍ଠାନ,performance,vocabulary,"Execution, accomplishment, fulfillment",ଅନୁଷ୍ଠାନ ର ମଧୁର କିରଣ,Sweet rays of the performance,advanced
3171,ସମ୍ପାଦନ,accomplishment,vocabulary,"Achievement, completion, execution",ସମ୍ପାଦନ ର ମଧୁର କିରଣ,Sweet rays of the accomplishment,advanced
3172,ନିଷ୍ପାଦନ,execution,vocabulary,"Performance, accomplishment, achievement",ନିଷ୍ପାଦନ ର ମଧୁର କିରଣ,Sweet rays of the execution,advanced
3173,ସିଦ୍ଧି,accomplishment,vocabulary,"Achievement, success, attainment",ସିଦ୍ଧି ର ମଧୁର କିରଣ,Sweet rays of the accomplishment,advanced
3174,ସଫଳତା,success,vocabulary,"Achievement, victory, accomplishment",ସଫଳତା ର ମଧୁର କିରଣ,Sweet rays of the success,advanced
3175,ବିଜୟ,victory,vocabulary,"Triumph, success, conquest",ବିଜୟ ର ମଧୁର କିରଣ,Sweet rays of the victory,advanced
3176,ଜୟ,win,vocabulary,"Victory, success, triumph",ଜୟ ର ମଧୁର କିରଣ,Sweet rays of the win,advanced
3177,ପରାଜୟ,defeat,vocabulary,"Loss, failure, overthrow",ପରାଜୟ ର ମଧୁର କିରଣ,Sweet rays of the defeat,advanced
3178,ଅସଫଳତା,failure,vocabulary,"Defeat, loss, unsuccessfulness",ଅସଫଳତା ର ମଧୁର କିରଣ,Sweet rays of the failure,advanced
3179,ହାର,loss,vocabulary,"Defeat, failure, losing",ହାର ର ମଧୁର କିରଣ,Sweet rays of the loss,advanced
3180,ପରାଭବ,overthrow,vocabulary,"Defeat, downfall, ruin",ପରାଭବ ର ମଧୁର କିରଣ,Sweet rays of the overthrow,advanced
3181,ଧ୍ୱଂସ,destruction,vocabulary,"Ruin, devastation, annihilation",ଧ୍ୱଂସ ର ମଧୁର କିରଣ,Sweet rays of the destruction,advanced
3182,ବିନାଶ,annihilation,vocabulary,"Destruction, ruin, extinction",ବିନାଶ ର ମଧୁର କିରଣ,Sweet rays of the annihilation,advanced
3183,ସଂହାର,massacre,vocabulary,"Slaughter, destruction, killing",ସଂହାର ର ମଧୁର କିରଣ,Sweet rays of the massacre,advanced
3184,ମୃତ୍ୟୁ,death,vocabulary,"Demise, end, passing away",ମୃତ୍ୟୁ ର ମଧୁର କିରଣ,Sweet rays of the death,advanced
3185,ନିଧନ,demise,vocabulary,"Death, passing, end",ନିଧନ ର ମଧୁର କିରଣ,Sweet rays of the demise,advanced
3186,ଦେହାନ୍ତ,death,vocabulary,"End of life, demise, passing",ଦେହାନ୍ତ ର ମଧୁର କିରଣ,Sweet rays of the death,advanced
3187,ପ୍ରାଣାନ୍ତ,death,vocabulary,"End of life, demise, expiration",ପ୍ରାଣାନ୍ତ ର ମଧୁର କିରଣ,Sweet rays of the death,advanced
3188,ଜୀବନାନ୍ତ,end of life,vocabulary,"Death, demise, passing",ଜୀବନାନ୍ତ ର ମଧୁର କିରଣ,Sweet rays of the end of life,advanced
3189,ଅମରତ୍ୱ,immortality,vocabulary,"Eternal life, deathlessness, permanence",ଅମରତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the immortality,advanced
3190,ଶାଶ୍ୱତତା,eternity,vocabulary,"Perpetuity, endlessness, timelessness",ଶାଶ୍ୱତତା ର ମଧୁର କିରଣ,Sweet rays of the eternity,advanced
3191,ଅନନ୍ତତା,infinity,vocabulary,"Endlessness, boundlessness, eternity",ଅନନ୍ତତା ର ମଧୁର କିରଣ,Sweet rays of the infinity,advanced
3192,ଅପରିମିତତା,limitlessness,vocabulary,"Boundlessness, infinity, vastness",ଅପରିମିତତା ର ମଧୁର କିରଣ,Sweet rays of the limitlessness,advanced
3193,ଅସୀମତା,boundlessness,vocabulary,"Limitlessness, infinity, vastness",ଅସୀମତା ର ମଧୁର କିରଣ,Sweet rays of the boundlessness,advanced
3194,ବିଶାଳତା,vastness,vocabulary,"Immensity, greatness, enormity",ବିଶାଳତା ର ମଧୁର କିରଣ,Sweet rays of the vastness,advanced
3195,ମହତ୍ତ୍ୱ,greatness,vocabulary,"Grandeur, importance, significance",ମହତ୍ତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the greatness,advanced
3196,ଗୁରୁତ୍ୱ,importance,vocabulary,"Significance, weight, value",ଗୁରୁତ୍ୱ ର ମଧୁର କିରଣ,Sweet rays of the importance,advanced
3197,ପ୍ରାଧାନ୍ୟ,priority,vocabulary,"Importance, precedence, primacy",ପ୍ରାଧାନ୍ୟ ର ମଧୁର କିରଣ,Sweet rays of the priority,advanced
3198,ମୁଖ୍ୟତା,primacy,vocabulary,"Chief importance, priority, supremacy",ମୁଖ୍ୟତା ର ମଧୁର କିରଣ,Sweet rays of the primacy,advanced
3199,ପ୍ରମୁଖତା,prominence,vocabulary,"Importance, distinction, eminence",ପ୍ରମୁଖତା ର ମଧୁର କିରଣ,Sweet rays of the prominence,advanced
3200,ବିଶେଷତା,specialty,vocabulary,"Distinctiveness, uniqueness, particularity",ବିଶେଷତା ର ମଧୁର କିରଣ,Sweet rays of the specialty,advanced
3201,ଅସାଧାରଣତା,uncommonness,vocabulary,"Rarity, uniqueness, specialness",ଅସାଧାରଣତା ର ମଧୁର କିରଣ,Sweet rays of the uncommonness,advanced
3202,ବିରଳତା,rarity,vocabulary,"Scarcity, uncommonness, uniqueness",ବିରଳତା ର ମଧୁର କିରଣ,Sweet rays of the rarity,advanced
3203,ସାଧାରଣତା,commonness,vocabulary,"Ordinariness, normality, regularity",ସାଧାରଣତା ର ମଧୁର କିରଣ,Sweet rays of the commonness,advanced
3204,ସାମାନ୍ୟତା,ordinariness,vocabulary,"Commonness, normality, regularity",ସାମାନ୍ୟତା ର ମଧୁର କିରଣ,Sweet rays of the ordinariness,advanced
3205,ପ୍ରଚୁରତା,abundance,vocabulary,"Plenty, copiousness, richness",ପ୍ରଚୁରତା ର ମଧୁର କିରଣ,Sweet rays of the abundance,advanced
3206,ପ୍ରାଚୁର୍ଯ୍ୟ,plenty,vocabulary,"Abundance, copiousness, wealth",ପ୍ରାଚୁର୍ଯ୍ୟ ର ମଧୁର କିରଣ,Sweet rays of the plenty,advanced
3207,ସମୃଦ୍ଧତା,prosperity,vocabulary,"Wealth, abundance, affluence",ସମୃଦ୍ଧତା ର ମଧୁର କିରଣ,Sweet rays of the prosperity,advanced
3208,ଧନିକତା,wealthiness,vocabulary,"Richness, affluence, prosperity",ଧନିକତା ର ମଧୁର କିରଣ,Sweet rays of the wealthiness,advanced
3209,ନିର୍ଧନତା,poverty,vocabulary,"Poorness, destitution, neediness",ନିର୍ଧନତା ର ମଧୁର କିରଣ,Sweet rays of the poverty,advanced
3210,ଦାରିଦ୍ର୍ୟ,destitution,vocabulary,"Poverty, neediness, penury",ଦାରିଦ୍ର୍ୟ ର ମଧୁର କିରଣ,Sweet rays of the destitution,advanced
3211,ଅଭାବ,lack,vocabulary,"Deficiency, shortage, absence",ଅଭାବ ର ମଧୁର କିରଣ,Sweet rays of the lack,advanced
3212,ଦୁର୍ଭିକ୍ଷ,famine,vocabulary,"Scarcity, hunger, shortage",ଦୁର୍ଭିକ୍ଷ ର ମଧୁର କିରଣ,Sweet rays of the famine,advanced
3213,ସଂକଟ,crisis,vocabulary,"Emergency, danger, difficulty",ସଂକଟ ର ମଧୁର କିରଣ,Sweet rays of the crisis,advanced
3214,ଆପଦ,calamity,vocabulary,"Disaster, misfortune, tragedy",ଆପଦ ର ମଧୁର କିରଣ,Sweet rays of the calamity,advanced
3215,ବିପର୍ଯ୍ୟୟ,catastrophe,vocabulary,"Disaster, calamity, ruin",ବିପର୍ଯ୍ୟୟ ର ମଧୁର କିରଣ,Sweet rays of the catastrophe,advanced
3216,ଦୁର୍ଘଟନା,accident,vocabulary,"Mishap, casualty, misfortune",ଦୁର୍ଘଟନା ର ମଧୁର କିରଣ,Sweet rays of the accident,advanced
3217,ଅନର୍ଥ,misfortune,vocabulary,"Trouble, disaster, calamity",ଅନର୍ଥ ର ମଧୁର କିରଣ,Sweet rays of the misfortune,advanced
3218,ବିପତ୍ତି,danger,vocabulary,"Peril, risk, hazard",ବିପତ୍ତି ର ମଧୁର କିରଣ,Sweet rays of the danger,advanced
3219,ଆଶଙ୍କା,fear,vocabulary,"Apprehension, worry, anxiety",ଆଶଙ୍କା ର ମଧୁର କିରଣ,Sweet rays of the fear,advanced
3220,ଭୀତି,terror,vocabulary,"Fear, dread, fright",ଭୀତି ର ମଧୁର କିରଣ,Sweet rays of the terror,advanced
3221,ତ୍ରାସ,horror,vocabulary,"Terror, fear, dread",ତ୍ରାସ ର ମଧୁର କିରଣ,Sweet rays of the horror,advanced
3222,ସଂତ୍ରାସ,panic,vocabulary,"Terror, alarm, fear",ସଂତ୍ରାସ ର ମଧୁର କିରଣ,Sweet rays of the panic,advanced
3223,ଆତଙ୍କ,terror,vocabulary,"Fear, dread, horror",ଆତଙ୍କ ର ମଧୁର କିରଣ,Sweet rays of the terror,advanced
3224,ଭୟଙ୍କରତା,fearfulness,vocabulary,"Terrifying quality, dreadfulness",ଭୟଙ୍କରତା ର ମଧୁର କିରଣ,Sweet rays of the fearfulness,advanced
3225,ଭୀଷଣତା,ferocity,vocabulary,"Fierceness, violence, intensity",ଭୀଷଣତା ର ମଧୁର କିରଣ,Sweet rays of the ferocity,advanced
3226,ପ୍ରଚଣ୍ଡତା,fierceness,vocabulary,"Violence, intensity, ferocity",ପ୍ରଚଣ୍ଡତା ର ମଧୁର କିରଣ,Sweet rays of the fierceness,advanced
3227,ତୀବ୍ରତା,intensity,vocabulary,"Strength, severity, acuteness",ତୀବ୍ରତା ର ମଧୁର କିରଣ,Sweet rays of the intensity,advanced
3228,ଉଗ୍ରତା,severity,vocabulary,"Harshness, intensity, strictness",ଉଗ୍ରତା ର ମଧୁର କିରଣ,Sweet rays of the severity,advanced
3229,କଠୋରତା,hardness,vocabulary,"Toughness, severity, strictness",କଠୋରତା ର ମଧୁର କିରଣ,Sweet rays of the hardness,advanced
3230,ନିର୍ଦ୍ଦୟତା,cruelty,vocabulary,"Mercilessness, brutality, harshness",ନିର୍ଦ୍ଦୟତା ର ମଧୁର କିରଣ,Sweet rays of the cruelty,advanced
3231,କ୍ରୁରତା,brutality,vocabulary,"Cruelty, savagery, violence",କ୍ରୁରତା ର ମଧୁର କିରଣ,Sweet rays of the brutality,advanced
3232,ହିଂସା,violence,vocabulary,"Aggression, force, cruelty",ହିଂସା ର ମଧୁର କିରଣ,Sweet rays of the violence,advanced
3233,ଅତ୍ୟାଚାର,atrocity,vocabulary,"Cruelty, oppression, brutality",ଅତ୍ୟାଚାର ର ମଧୁର କିରଣ,Sweet rays of the atrocity,advanced
3234,ପୀଡ଼ନ,torture,vocabulary,"Torment, suffering, pain",ପୀଡ଼ନ ର ମଧୁର କିରଣ,Sweet rays of the torture,advanced
3235,ଯନ୍ତ୍ରଣା,agony,vocabulary,"Pain, suffering, torment",ଯନ୍ତ୍ରଣା ର ମଧୁର କିରଣ,Sweet rays of the agony,advanced
3236,ବେଦନା,pain,vocabulary,"Suffering, ache, distress",ବେଦନା ର ମଧୁର କିରଣ,Sweet rays of the pain,advanced
3237,କ୍ଳେଶ,distress,vocabulary,"Trouble, suffering, difficulty",କ୍ଳେଶ ର ମଧୁର କିରଣ,Sweet rays of the distress,advanced
3238,ଦୁଃଖ,sorrow,vocabulary,"Grief, sadness, pain",ଦୁଃଖ ର ମଧୁର କିରଣ,Sweet rays of the sorrow,advanced
3239,ଶୋକ,grief,vocabulary,"Mourning, sorrow, sadness",ଶୋକ ର ମଧୁର କିରଣ,Sweet rays of the grief,advanced
3240,ବିଷାଦ,melancholy,vocabulary,"Sadness, depression, gloom",ବିଷାଦ ର ମଧୁର କିରଣ,Sweet rays of the melancholy,advanced
3241,ଖେଦ,regret,vocabulary,"Sorrow, remorse, disappointment",ଖେଦ ର ମଧୁର କିରଣ,Sweet rays of the regret,advanced
3242,ଅନୁତାପ,repentance,vocabulary,"Remorse, regret, contrition",ଅନୁତାପ ର ମଧୁର କିରଣ,Sweet rays of the repentance,advanced
